ID,Cor,Modelo,Estacao,Funcionario,PosicaoEsteira
408,Azul,SUV,4,20,41
409,Verde,SEDAN,1,5,41
410,Vermelho,SUV,3,15,41
411,Vermelho,SUV,1,2,41
412,Azul,SUV,2,10,41
413,Azul,SEDAN,3,12,41
414,Verde,SUV,4,19,41
415,Vermelho,SUV,1,4,41
416,Azul,SEDAN,3,14,41
417,Azul,SEDAN,1,1,41
418,Vermelho,SUV,2,9,41
419,Verde,SUV,3,11,41
420,Vermelho,SUV,4,18,41
421,Verde,SUV,1,3,41
422,Vermelho,SEDAN,3,13,41
423,Verde,SEDAN,1,5,41
424,Verde,SUV,2,8,41
425,Vermelho,SEDAN,3,15,41
426,Azul,SUV,4,17,41
427,Azul,SEDAN,1,2,41
428,Vermelho,SEDAN,3,12,41
429,Azul,SEDAN,1,4,41
430,Vermelho,SEDAN,2,7,41
431,Azul,SEDAN,3,14,41
432,Azul,SUV,4,16,41
433,Azul,SEDAN,1,1,41
434,Verde,SUV,3,11,41
435,Vermelho,SEDAN,1,3,41
436,Azul,SUV,2,6,41
437,Vermelho,SUV,3,13,41
438,Azul,SEDAN,4,20,41
439,Azul,SUV,1,5,41
440,Azul,SUV,3,15,41
441,Verde,SEDAN,1,2,41
442,Vermelho,SEDAN,2,10,41
443,Vermelho,SEDAN,3,12,41
444,Azul,SEDAN,4,19,41
445,Vermelho,SEDAN,1,4,41
446,Verde,SEDAN,3,14,41
447,Verde,SEDAN,1,1,41
448,Verde,SUV,2,9,41
449,Azul,SEDAN,3,11,41
450,Verde,SUV,4,18,41
451,Verde,SUV,1,3,41
452,Vermelho,SEDAN,3,13,41
453,Vermelho,SUV,1,5,41
454,Vermelho,SUV,2,8,41
455,Verde,SEDAN,3,15,41
456,Azul,SEDAN,4,17,41
457,Vermelho,SEDAN,1,2,41
458,Verde,SEDAN,3,12,41
459,Vermelho,SEDAN,1,4,41
460,Verde,SEDAN,2,7,41
461,Verde,SUV,3,14,41
462,Azul,SEDAN,4,16,41
463,Vermelho,SEDAN,1,1,41
464,Verde,SUV,3,11,41
465,Verde,SEDAN,1,3,41
466,Verde,SUV,2,6,41
467,Verde,SEDAN,3,13,41
468,Vermelho,SUV,4,20,41
469,Vermelho,SUV,1,5,41
470,Vermelho,SUV,3,15,41
471,Azul,SEDAN,1,2,41
472,Vermelho,SUV,2,10,41
473,Verde,SEDAN,3,12,41
474,Vermelho,SEDAN,4,19,41
475,Vermelho,SEDAN,1,4,41
476,Vermelho,SUV,3,14,41
477,Verde,SUV,1,1,41
478,Azul,SUV,2,9,41
479,Azul,SUV,3,11,41
480,Verde,SUV,4,18,41
481,Verde,SUV,1,3,41
482,Vermelho,SUV,3,13,41
483,Verde,SUV,1,5,41
484,Verde,SEDAN,2,8,41
485,Azul,SUV,3,15,41
486,Vermelho,SUV,4,17,41
487,Azul,SEDAN,1,2,41
488,Azul,SUV,3,12,41
489,Vermelho,SEDAN,1,4,41
490,Verde,SUV,2,7,41
491,Verde,SUV,3,14,41
492,Azul,SEDAN,4,16,41
493,Verde,SEDAN,1,1,41
494,Verde,SEDAN,3,11,41
495,Vermelho,SUV,1,3,41
496,Azul,SEDAN,2,6,41
500,Verde,SUV,3,15,41
499,Azul,SEDAN,1,5,41
498,Azul,SUV,4,20,41
497,Vermelho,SEDAN,3,13,41
